Settlement Date,Settlement Period,System Sell Price(GBP/MWh),System Buy Price(GBP/MWh),Net Imbalance Volume(MWh)
01/01/2019,1,15,15,-1058.307
01/01/2019,2,15,15,-664.288
01/01/2019,3,16,16,-1033.909
01/01/2019,4,16,16,-1319.343
01/01/2019,5,16,16,-1180.858
01/01/2019,6,15,15,-798.207
01/01/2019,7,15,15,-514.492
01/01/2019,8,30,30,-429.079
01/01/2019,9,15,15,-350.058
01/01/2019,10,15,15,-329.742
01/01/2019,11,15,15,-254.333
01/01/2019,12,15,15,-19.402
01/01/2019,13,63.5,63.5,127.891
01/01/2019,14,17.62,17.62,-263.485
01/01/2019,15,16.8,16.8,-1176.117
01/01/2019,16,16.8,16.8,-1123.154
01/01/2019,17,15,15,-1197.366
01/01/2019,18,30,30,-761.32
01/01/2019,19,30.1,30.1,-538.534
01/01/2019,20,40.15,40.15,-120.444
01/01/2019,21,67,67,215.304
01/01/2019,22,30.1,30.1,-183.877
01/01/2019,23,38,38,-193.124
01/01/2019,24,35,35,-524.425
01/01/2019,25,20,20,-634.388
01/01/2019,26,38,38,-354.812
01/01/2019,27,44.5,44.5,-116
01/01/2019,28,31.31,31.31,-186.896
01/01/2019,29,38,38,-196.376
01/01/2019,30,43,43,-284.76
01/01/2019,31,38,38,-413.061
01/01/2019,32,38,38,-311.19
01/01/2019,33,38,38,-265.411
01/01/2019,34,38,38,-88.317
01/01/2019,35,38,38,-33.411
01/01/2019,36,38,38,-154.653
01/01/2019,37,46,46,-17.069
01/01/2019,38,38,38,-12.088
01/01/2019,39,38,38,-222.263
01/01/2019,40,38,38,-236.19
01/01/2019,41,38,38,-344.359
01/01/2019,42,38,38,-550.223
01/01/2019,43,38,38,-369.681
01/01/2019,44,38,38,-378.254
01/01/2019,45,38,38,-210.445
01/01/2019,46,38,38,-293.43
01/01/2019,47,16,16,-347.086
01/01/2019,48,42.1,42.1,-415.507
02/01/2019,1,42,42,-705.556
02/01/2019,2,43.55,43.55,-285.29
02/01/2019,3,44.02,44.02,-95.172
02/01/2019,4,56,56,-76.046
02/01/2019,5,54,54,-16.499
02/01/2019,6,38,38,-120.183
02/01/2019,7,20,20,-264.333
02/01/2019,8,41.95,41.95,-375.72
02/01/2019,9,41.95,41.95,-467.809
02/01/2019,10,42.05,42.05,-306.741
02/01/2019,11,43,43,-173.474
02/01/2019,12,42.1,42.1,-381.16
02/01/2019,13,42.2,42.2,-488.921
02/01/2019,14,43.15,43.15,-521.315
02/01/2019,15,45,45,-438.134
02/01/2019,16,48,48,-455.707
02/01/2019,17,46,46,-737.739
02/01/2019,18,51.02,51.02,-244.403
02/01/2019,19,51.05,51.05,-78.185
02/01/2019,20,65,65,265.02
02/01/2019,21,87,87,176.895
02/01/2019,22,87,87,184.423
02/01/2019,23,92.8,92.8,101.908
02/01/2019,24,92.8,92.8,244.18
02/01/2019,25,100,100,225.679
02/01/2019,26,100,100,262.708
02/01/2019,27,98,98,307.703
02/01/2019,28,99.93,99.93,212.608
02/01/2019,29,99.93,99.93,137.386
02/01/2019,30,99.93,99.93,42.451
02/01/2019,31,51.5,51.5,-12.077
02/01/2019,32,51.25,51.25,-71.359
02/01/2019,33,156.5,156.5,132.701
02/01/2019,34,167,167,489.33
02/01/2019,35,158,158,412.781
02/01/2019,36,175,175,133.119
02/01/2019,37,52.75,52.75,-44.625
02/01/2019,38,51.25,51.25,-116.594
02/01/2019,39,100,100,43.84
02/01/2019,40,100,100,191.553
02/01/2019,41,106,106,250.525
02/01/2019,42,80,80,10.183
02/01/2019,43,80,80,88.204
02/01/2019,44,74.25,74.25,10.533
02/01/2019,45,72.5,72.5,19.389
02/01/2019,46,49,49,-317.697
02/01/2019,47,49.05,49.05,-80.141
02/01/2019,48,49.05,49.05,-21.096
03/01/2019,1,47.3,47.3,-199.04
03/01/2019,2,49.05,49.05,-129.636
03/01/2019,3,47.3,47.3,-176.15
03/01/2019,4,47.3,47.3,-345.701
03/01/2019,5,20,20,-181.29
03/01/2019,6,20,20,-257.458
03/01/2019,7,49.05,49.05,-230.21
03/01/2019,8,47.3,47.3,-364.375
03/01/2019,9,48.05,48.05,-331.456
03/01/2019,10,48.05,48.05,-254.942
03/01/2019,11,49.05,49.05,-335.15
03/01/2019,12,48.05,48.05,-844.344
03/01/2019,13,49.06,49.06,-471.886
03/01/2019,14,48.5,48.5,-838.918
03/01/2019,15,48.05,48.05,-1247.903
03/01/2019,16,48.05,48.05,-1181.389
03/01/2019,17,49.05,49.05,-1016.995
03/01/2019,18,50.05,50.05,-515.353
03/01/2019,19,52.3,52.3,-24.795
03/01/2019,20,60,60,68.347
03/01/2019,21,96.6967,96.6967,23.733
03/01/2019,22,100,100,66.676
03/01/2019,23,115,115,409.027
03/01/2019,24,115,115,429.404
03/01/2019,25,115,115,174.5
03/01/2019,26,112.9,112.9,250.09
03/01/2019,27,112.9,112.9,103.78
03/01/2019,28,60,60,49.437
03/01/2019,29,60,60,53.985
03/01/2019,30,112.9,112.9,125.833
03/01/2019,31,112.9,112.9,2.703
03/01/2019,32,53,53,-239.717
03/01/2019,33,0,0,-346.874
03/01/2019,34,0,0,-716.756
03/01/2019,35,50.11,50.11,-537.868
03/01/2019,36,50.4,50.4,-479.755
03/01/2019,37,51.2,51.2,-482.717
03/01/2019,38,53.75,53.75,-359.728
03/01/2019,39,55,55,-17.101
03/01/2019,40,53.77,53.77,-32.448
03/01/2019,41,110,110,98.875
03/01/2019,42,50.4,50.4,-226.483
03/01/2019,43,50.55,50.55,-254.954
03/01/2019,44,49.6,49.6,-431.744
03/01/2019,45,49.9,49.9,-373.006
03/01/2019,46,50.05,50.05,-395.689
03/01/2019,47,50.05,50.05,-269.212
03/01/2019,48,50.05,50.05,-210.335
04/01/2019,1,50.05,50.05,-340.86
04/01/2019,2,49.1,49.1,-404.449
04/01/2019,3,48.75,48.75,-346.991
04/01/2019,4,48.75,48.75,-313.242
04/01/2019,5,48.75,48.75,-520.897
04/01/2019,6,48.75,48.75,-579.16
04/01/2019,7,49.05,49.05,-279.699
04/01/2019,8,48,48,-367.206
04/01/2019,9,48,48,-458.99
04/01/2019,10,48,48,-422.255
04/01/2019,11,47.3,47.3,-672.332
04/01/2019,12,45,45,-833.74
04/01/2019,13,45,45,-873.279
04/01/2019,14,39,39,-1341.836
04/01/2019,15,39,39,-1427.157
04/01/2019,16,45.9,45.9,-1200.818
04/01/2019,17,47.3,47.3,-1185.34
04/01/2019,18,47.3,47.3,-769.8
04/01/2019,19,49.5,49.5,-268.961
04/01/2019,20,51.1,51.1,-44.202
04/01/2019,21,84,84,36.496
04/01/2019,22,51.25,51.25,-18.363
04/01/2019,23,50.4,50.4,-357.967
04/01/2019,24,50.4,50.4,-348.737
04/01/2019,25,50.15,50.15,-151.138
04/01/2019,26,50.71138,50.71138,-233.738
04/01/2019,27,53.75,53.75,-169.672
04/01/2019,28,53.75,53.75,-241.808
04/01/2019,29,53.77,53.77,-132.346
04/01/2019,30,51.25,51.25,-320.67
04/01/2019,31,53.75,53.75,-294.915
04/01/2019,32,53.77,53.77,-178.049
04/01/2019,33,48.3,48.3,-511.431
04/01/2019,34,52.6,52.6,-262.131
04/01/2019,35,0,0,-330.77
04/01/2019,36,51.15,51.15,-238.143
04/01/2019,37,51.15,51.15,-66.923
04/01/2019,38,46.5,46.5,-146.404
04/01/2019,39,50.95,50.95,-209.839
04/01/2019,40,46.5,46.5,-451.798
04/01/2019,41,46.5,46.5,-604.831
04/01/2019,42,49.75,49.75,-688.32
04/01/2019,43,51.15,51.15,-61.213
04/01/2019,44,65.12,65.12,14.092
04/01/2019,45,64.52,64.52,0.43
04/01/2019,46,51.25,51.25,-11.101
04/01/2019,47,81,81,168.625
04/01/2019,48,81,81,308.669
05/01/2019,1,70.49,70.49,8.037
05/01/2019,2,50,50,-93.297
05/01/2019,3,48.5,48.5,-166.101
05/01/2019,4,49.3,49.3,-124.691
05/01/2019,5,80,80,62.76
05/01/2019,6,81,81,124.684
05/01/2019,7,81,81,228.247
05/01/2019,8,80,80,73.883
05/01/2019,9,64,64,11.738
05/01/2019,10,50,50,-68.283
05/01/2019,11,48.6,48.6,-124.033
05/01/2019,12,48.21,48.21,-72.017
05/01/2019,13,56.02,56.02,-23.463
05/01/2019,14,49.05,49.05,-230.206
05/01/2019,15,47,47,-401.432
05/01/2019,16,47.3,47.3,-450.639
05/01/2019,17,48.6,48.6,-234.712
05/01/2019,18,83.586,83.586,3.275
05/01/2019,19,48.75,48.75,-208.089
05/01/2019,20,100,100,46.277
05/01/2019,21,100,100,220.167
05/01/2019,22,98,98,335.117
05/01/2019,23,98,98,318.658
05/01/2019,24,98,98,405.192
05/01/2019,25,98,98,493.75
05/01/2019,26,118,118,277.491
05/01/2019,27,97,97,119.352
05/01/2019,28,51.51,51.51,-153.225
05/01/2019,29,51.51,51.51,-50.12
05/01/2019,30,51.56,51.56,-15.575
05/01/2019,31,51.51,51.51,-15.05
05/01/2019,32,52.1,52.1,-29.549
05/01/2019,33,51.62,51.62,-126.499
05/01/2019,34,107.85,107.85,219.471
05/01/2019,35,107.85,107.85,203.856
05/01/2019,36,107.85,107.85,104.474
05/01/2019,37,107.85,107.85,50.936
05/01/2019,38,52.94,52.94,-61.132
05/01/2019,39,82,82,18.658
05/01/2019,40,52.8,52.8,-235.334
05/01/2019,41,100,100,159.532
05/01/2019,42,48.75,48.75,-6.517
05/01/2019,43,79.95,79.95,188.457
05/01/2019,44,51.25,51.25,-74.323
05/01/2019,45,60.9,60.9,113.694
05/01/2019,46,60,60,6.339
05/01/2019,47,49.99,49.99,-78.069
05/01/2019,48,81,81,384.213
06/01/2019,1,78,78,389.839
06/01/2019,2,137,137,598.699
06/01/2019,3,138,138,769.424
06/01/2019,4,137,137,513.568
06/01/2019,5,82,82,319.1
06/01/2019,6,82,82,155.508
06/01/2019,7,82,82,188.451
06/01/2019,8,49.95,49.95,-91.339
06/01/2019,9,48.5,48.5,-406.653
06/01/2019,10,47.31,47.31,-392.473
06/01/2019,11,47.31,47.31,-332.03
06/01/2019,12,48.4,48.4,-298.918
06/01/2019,13,48.4,48.4,-361.858
06/01/2019,14,48.5,48.5,-351.305
06/01/2019,15,49.05,49.05,-154.404
06/01/2019,16,49.06,49.06,-128.93
06/01/2019,17,47.5,47.5,-67.237
06/01/2019,18,77,77,26.717
06/01/2019,19,49.5,49.5,-80.055
06/01/2019,20,49.06,49.06,-57.662
06/01/2019,21,97,97,32.777
06/01/2019,22,100,100,120.941
06/01/2019,23,82,82,17.515
06/01/2019,24,97,97,48.317
06/01/2019,25,82,82,21.608
06/01/2019,26,82,82,21
06/01/2019,27,84,84,7.133
06/01/2019,28,49.06,49.06,-111.958
06/01/2019,29,49.06,49.06,-258.819
06/01/2019,30,51.85,51.85,-444.076
06/01/2019,31,51.87,51.87,-281.891
06/01/2019,32,119.84,119.84,10.808
06/01/2019,33,119.84,119.84,90.998
06/01/2019,34,134.84,134.84,398.215
06/01/2019,35,134.84,134.84,375.833
06/01/2019,36,119.84,119.84,125.145
06/01/2019,37,53.7,53.7,-101.568
06/01/2019,38,53.61,53.61,-244.241
06/01/2019,39,53.7,53.7,-94.296
06/01/2019,40,50,50,-209.692
06/01/2019,41,97,97,26.009
06/01/2019,42,50,50,-378.007
06/01/2019,43,49.5,49.5,-518.509
06/01/2019,44,49.4,49.4,-516.677
06/01/2019,45,45.47141,45.47141,-727.016
06/01/2019,46,45.4,45.4,-522.707
06/01/2019,47,49.5,49.5,-54.076
06/01/2019,48,46.1,46.1,-303.841
07/01/2019,1,46.5,46.5,-118.96
07/01/2019,2,46.55,46.55,-108.083
07/01/2019,3,46.5,46.5,-62.433
07/01/2019,4,46.3,46.3,-187.326
07/01/2019,5,46.5,46.5,-99.399
07/01/2019,6,40.15,40.15,-156.855
07/01/2019,7,60,60,49.402
07/01/2019,8,46.5,46.5,-176.782
07/01/2019,9,70,70,218.841
07/01/2019,10,41,41,-135.936
07/01/2019,11,46.5,46.5,-171.323
07/01/2019,12,44.5,44.5,-795.001
07/01/2019,13,45.9,45.9,-710.438
07/01/2019,14,46.55,46.55,-623.862
07/01/2019,15,46.55,46.55,-1054.718
07/01/2019,16,47.5,47.5,-1008.897
07/01/2019,17,48.6,48.6,-699.052
07/01/2019,18,48.1,48.1,-794.969
07/01/2019,19,47.58953,47.58953,-700.178
07/01/2019,20,45.5,45.5,-461.386
07/01/2019,21,45.5,45.5,-591.621
07/01/2019,22,46,46,-432.392
07/01/2019,23,45.5,45.5,-356.935
07/01/2019,24,45.5,45.5,-388.956
07/01/2019,25,47,47,-21.563
07/01/2019,26,66.8,66.8,119.113
07/01/2019,27,62.31,62.31,245.415
07/01/2019,28,59.8,59.8,115.941
07/01/2019,29,59.8,59.8,5.835
07/01/2019,30,47,47,-105.268
07/01/2019,31,46.74,46.74,-493.907
07/01/2019,32,48,48,-465.082
07/01/2019,33,46.75,46.75,-559.102
07/01/2019,34,68,68,56.797
07/01/2019,35,47.06,47.06,-292.097
07/01/2019,36,50,50,-291.704
07/01/2019,37,50,50,-186.339
07/01/2019,38,50,50,-85.182
07/01/2019,39,48,48,-129.504
07/01/2019,40,50,50,-136.745
07/01/2019,41,49,49,-263.445
07/01/2019,42,49,49,-316.442
07/01/2019,43,70,70,2.768
07/01/2019,44,49,49,-194.488
07/01/2019,45,49,49,-187.484
07/01/2019,46,69.75,69.75,72.713
07/01/2019,47,44.05,44.05,-193.803
07/01/2019,48,44.05,44.05,-56.56
08/01/2019,1,43.3,43.3,-151.934
08/01/2019,2,69,69,77.075
08/01/2019,3,69,69,98.224
08/01/2019,4,41.4,41.4,-196.428
08/01/2019,5,41.4,41.4,-178.623
08/01/2019,6,43.3,43.3,-274.428
08/01/2019,7,43.3,43.3,-212.139
08/01/2019,8,45.74,45.74,-160.669
08/01/2019,9,44.05,44.05,-82.4
08/01/2019,10,43.3,43.3,-140.589
08/01/2019,11,31.41,31.41,-222.374
08/01/2019,12,43.3,43.3,-199.599
08/01/2019,13,69,69,192.723
08/01/2019,14,47,47,-190.885
08/01/2019,15,68.21,68.21,200.962
08/01/2019,16,94.5,94.5,791.265
08/01/2019,17,99,99,336.353
08/01/2019,18,80.75,80.75,115.967
08/01/2019,19,97,97,283.526
08/01/2019,20,71,71,80.66
08/01/2019,21,46.2,46.2,-317.062
08/01/2019,22,48,48,-418.829
08/01/2019,23,49,49,-334.834
08/01/2019,24,48.1,48.1,-373.254
08/01/2019,25,46.2,46.2,-743.825
08/01/2019,26,46.2,46.2,-980.587
08/01/2019,27,46,46,-1299.122
08/01/2019,28,46,46,-1422.954
08/01/2019,29,46.2,46.2,-963.226
08/01/2019,30,46,46,-530.135
08/01/2019,31,46,46,-570.021
08/01/2019,32,99.77,99.77,57.418
08/01/2019,33,100.77,100.77,178.592
08/01/2019,34,100.77,100.77,478.017
08/01/2019,35,101.27,101.27,543.408
08/01/2019,36,100.77,100.77,405.745
08/01/2019,37,94.37,94.37,92.342
08/01/2019,38,99.77,99.77,174.485
08/01/2019,39,89.1,89.1,73.797
08/01/2019,40,95.5,95.5,48.465
08/01/2019,41,95.5,95.5,113.791
08/01/2019,42,80.15,80.15,104.133
08/01/2019,43,80.15,80.15,374.762
08/01/2019,44,75.5,75.5,355.083
08/01/2019,45,72,72,393.537
08/01/2019,46,69,69,307.329
08/01/2019,47,69,69,25.591
08/01/2019,48,43.3,43.3,-134.207
09/01/2019,1,46,46,-439.111
09/01/2019,2,46.6,46.6,-111.658
09/01/2019,3,49.66,49.66,-165.895
09/01/2019,4,46.6,46.6,-408.375
09/01/2019,5,46.6,46.6,-444.642
09/01/2019,6,46.85,46.85,-325.019
09/01/2019,7,46.85,46.85,-396.408
09/01/2019,8,46.9,46.9,-426.821
09/01/2019,9,46.9,46.9,-192.606
09/01/2019,10,50.45,50.45,-34.019
09/01/2019,11,50.26,50.26,-144.256
09/01/2019,12,46,46,-154.105
09/01/2019,13,69,69,32.406
09/01/2019,14,46.6,46.6,-76.986
09/01/2019,15,46.85,46.85,-219.117
09/01/2019,16,49,49,-216.998
09/01/2019,17,46.5,46.5,-119.329
09/01/2019,18,46.9,46.9,-307.994
09/01/2019,19,49,49,-75.306
09/01/2019,20,49,49,-77.983
09/01/2019,21,49,49,-9.994
09/01/2019,22,46.9,46.9,-378.325
09/01/2019,23,46.1,46.1,-637.194
09/01/2019,24,46.1,46.1,-682.699
09/01/2019,25,46.9,46.9,-452.349
09/01/2019,26,49,49,-176.859
09/01/2019,27,49.1,49.1,-52.944
09/01/2019,28,70,70,172.954
09/01/2019,29,68.56,68.56,164.733
09/01/2019,30,70,70,41.752
09/01/2019,31,46.5,46.5,-562.151
09/01/2019,32,46.55,46.55,-406.288
09/01/2019,33,49,49,-147.457
09/01/2019,34,46.55,46.55,-408.715
09/01/2019,35,46.55,46.55,-444.474
09/01/2019,36,46.55,46.55,-425.473
09/01/2019,37,46.5,46.5,-429.303
09/01/2019,38,46,46,-480.793
09/01/2019,39,51,51,-5.925
09/01/2019,40,80.05,80.05,245.254
09/01/2019,41,72,72,92.793
09/01/2019,42,72,72,3.874
09/01/2019,43,72.5,72.5,259.223
09/01/2019,44,49.1,49.1,-60.392
09/01/2019,45,48,48,-210.849
09/01/2019,46,46,46,-556.811
09/01/2019,47,43.02,43.02,-254.251
09/01/2019,48,69.5,69.5,194.611
10/01/2019,1,47.7,47.7,-137.651
10/01/2019,2,68.5,68.5,94.479
10/01/2019,3,67,67,90.117
10/01/2019,4,66.5,66.5,32.104
10/01/2019,5,69,69,24.706
10/01/2019,6,52.51,52.51,-72.985
10/01/2019,7,47,47,-215.172
10/01/2019,8,47,47,-255.375
10/01/2019,9,46.6,46.6,-187.65
10/01/2019,10,46.6,46.6,-319.319
10/01/2019,11,46.8,46.8,-13.187
10/01/2019,12,46.6,46.6,-147.637
10/01/2019,13,180,180,627.524
10/01/2019,14,80,80,312.629
10/01/2019,15,95,95,360.448
10/01/2019,16,79.68,79.68,181.81
10/01/2019,17,78.24,78.24,143.595
10/01/2019,18,78.24,78.24,184.402
10/01/2019,19,97,97,442.14
10/01/2019,20,97,97,393.39
10/01/2019,21,97,97,306.1
10/01/2019,22,94.5,94.5,247.716
10/01/2019,23,100,100,177.425
10/01/2019,24,100,100,371.689
10/01/2019,25,88.55964,88.55964,6.52
10/01/2019,26,92.85,92.85,112.781
10/01/2019,27,92.85,92.85,114.369
10/01/2019,28,91.5,91.5,15.793
10/01/2019,29,92.85,92.85,112.519
10/01/2019,30,92.85,92.85,47.77
10/01/2019,31,49.5,49.5,-255.548
10/01/2019,32,49.52,49.52,-101.51
10/01/2019,33,48.53,48.53,-503.62
10/01/2019,34,48.53,48.53,-653.022
10/01/2019,35,49.5,49.5,-118.796
10/01/2019,36,80,80,232.191
10/01/2019,37,91.5,91.5,202.45
10/01/2019,38,80,80,163.644
10/01/2019,39,49.6,49.6,-78.369
10/01/2019,40,49.1,49.1,-244.914
10/01/2019,41,49.1,49.1,-250.089
10/01/2019,42,48.55,48.55,-622.8
10/01/2019,43,48.53,48.53,-545.876
10/01/2019,44,48.55,48.55,-174.882
10/01/2019,45,47,47,-260.432
10/01/2019,46,41.95,41.95,-375.427
10/01/2019,47,40,40,-305.46
10/01/2019,48,41.95,41.95,-69.656
11/01/2019,1,45.08,45.08,-100.209
11/01/2019,2,68.1,68.1,85.54
11/01/2019,3,50.45,50.45,-31.104
11/01/2019,4,47.25,47.25,-205.667
11/01/2019,5,47.25,47.25,-152.86
11/01/2019,6,44.6,44.6,-241.292
11/01/2019,7,44.6,44.6,-253.173
11/01/2019,8,47.25,47.25,-158.043
11/01/2019,9,47,47,-185.411
11/01/2019,10,45.1,45.1,-466.788
11/01/2019,11,70,70,144.806
11/01/2019,12,70,70,125.773
11/01/2019,13,49.6,49.6,-11.885
11/01/2019,14,47,47,-441.23
11/01/2019,15,10,10,-656.217
11/01/2019,16,49,49,-233.316
11/01/2019,17,48.6,48.6,-314.528
11/01/2019,18,91.5,91.5,79.294
11/01/2019,19,92.85,92.85,156.466
11/01/2019,20,80,80,275.583
11/01/2019,21,80,80,413.483
11/01/2019,22,80,80,354.65
11/01/2019,23,80,80,292.667
11/01/2019,24,80,80,230.984
11/01/2019,25,45,45,-297.205
11/01/2019,26,48.6,48.6,-474.098
11/01/2019,27,33.1,33.1,-386.853
11/01/2019,28,49.66,49.66,-169.672
11/01/2019,29,80,80,141.411
11/01/2019,30,79.75,79.75,70.407
11/01/2019,31,79.95,79.95,195.496
11/01/2019,32,94.07,94.07,206.442
11/01/2019,33,49.66,49.66,-554.261
11/01/2019,34,50.1,50.1,-67.329
11/01/2019,35,50.1,50.1,-57.703
11/01/2019,36,49.8,49.8,-381.312
11/01/2019,37,49.9,49.9,-302.838
11/01/2019,38,50.2,50.2,-103.829
11/01/2019,39,50.1,50.1,-42.814
11/01/2019,40,78,78,83.545
11/01/2019,41,50.1,50.1,-19.88
11/01/2019,42,47.9,47.9,-674.445
11/01/2019,43,49.6,49.6,-219.908
11/01/2019,44,49.6,49.6,-169.971
11/01/2019,45,47.25,47.25,-239.516
11/01/2019,46,62.36,62.36,99.746
11/01/2019,47,42.8097,42.8097,-325.679
11/01/2019,48,70,70,133.365
12/01/2019,1,69.5,69.5,131.311
12/01/2019,2,67,67,74.633
12/01/2019,3,67,67,129.863
12/01/2019,4,41.4,41.4,-340.135
12/01/2019,5,45,45,-237.235
12/01/2019,6,42,42,-275.748
12/01/2019,7,42,42,-92.124
12/01/2019,8,45,45,-324.979
12/01/2019,9,34.79,34.79,-251.457
12/01/2019,10,10,10,-431.987
12/01/2019,11,40.91,40.91,-153.844
12/01/2019,12,65,65,37.725
12/01/2019,13,67.5,67.5,328.93
12/01/2019,14,66.5,66.5,48.619
12/01/2019,15,10,10,-304.045
12/01/2019,16,10,10,-785.84
12/01/2019,17,44.3,44.3,-366.031
12/01/2019,18,47,47,-216.106
12/01/2019,19,47,47,-181.527
12/01/2019,20,72,72,203.096
12/01/2019,21,48.23,48.23,-82.916
12/01/2019,22,47,47,-234.4
12/01/2019,23,45.2,45.2,-356.194
12/01/2019,24,45.2,45.2,-473.317
12/01/2019,25,69.9,69.9,278.714
12/01/2019,26,69,69,38.266
12/01/2019,27,50.96,50.96,-40.487
12/01/2019,28,47,47,-290.956
12/01/2019,29,46.11,46.11,-478.207
12/01/2019,30,46.11,46.11,-522.876
12/01/2019,31,55.18,55.18,-137.327
12/01/2019,32,68,68,4.986
12/01/2019,33,69,69,81.5
12/01/2019,34,98,98,294.591
12/01/2019,35,87.5,87.5,276.9
12/01/2019,36,98,98,301.092
12/01/2019,37,87.5,87.5,46.192
12/01/2019,38,65.68,65.68,-126.839
12/01/2019,39,82,82,39.288
12/01/2019,40,47,47,-289.938
12/01/2019,41,46.11,46.11,-533.981
12/01/2019,42,20,20,-510.415
12/01/2019,43,20,20,-271.945
12/01/2019,44,54.85,54.85,-535.308
12/01/2019,45,54.45,54.45,-110.033
12/01/2019,46,55.07,55.07,-37.265
12/01/2019,47,15,15,-234.289
12/01/2019,48,43.4,43.4,-177.511
13/01/2019,1,41.68,41.68,-159.193
13/01/2019,2,35.16,35.16,-66.862
13/01/2019,3,67.78,67.78,59.622
13/01/2019,4,32.59,32.59,-274.026
13/01/2019,5,28.96,28.96,-431.438
13/01/2019,6,25.99,25.99,-523.151
13/01/2019,7,19.04,19.04,-278.683
13/01/2019,8,30,30,-323.735
13/01/2019,9,17.41,17.41,-388.089
13/01/2019,10,17.11,17.11,-518.053
13/01/2019,11,19.33,19.33,-434.385
13/01/2019,12,20.22,20.22,-386.956
13/01/2019,13,20.56,20.56,-551.534
13/01/2019,14,22.67,22.67,-642.669
13/01/2019,15,30,30,-601.809
13/01/2019,16,60,60,-314.552
13/01/2019,17,37.72,37.72,-381.202
13/01/2019,18,67,67,65.715
13/01/2019,19,52,52,-307.151
13/01/2019,20,54.29,54.29,-37.56
13/01/2019,21,56.44,56.44,-139.501
13/01/2019,22,55.46,55.46,-215.282
13/01/2019,23,58.19,58.19,-179.929
13/01/2019,24,42,42,-76.847
13/01/2019,25,66,66,20.621
13/01/2019,26,67,67,46.928
13/01/2019,27,42,42,-49.235
13/01/2019,28,15,15,-193.75
13/01/2019,29,46.45,46.45,-10.7
13/01/2019,30,66.25,66.25,95.815
13/01/2019,31,66.25,66.25,44.945
13/01/2019,32,46.45,46.45,-39.494
13/01/2019,33,46.11,46.11,-450.807
13/01/2019,34,72,72,46.283
13/01/2019,35,82.9,82.9,146.49
13/01/2019,36,82.9,82.9,191.285
13/01/2019,37,47.25,47.25,-202.74
13/01/2019,38,47.25,47.25,-204.609
13/01/2019,39,47.25,47.25,-304.35
13/01/2019,40,47,47,-357.849
13/01/2019,41,47,47,-151.424
13/01/2019,42,47,47,-121.062
13/01/2019,43,46.12,46.12,-368.208
13/01/2019,44,46.12,46.12,-338.021
13/01/2019,45,45.1,45.1,-235.175
13/01/2019,46,40,40,-302.274
13/01/2019,47,45.5,45.5,-6.161
13/01/2019,48,45.2,45.2,-151.911
14/01/2019,1,49.95,49.95,1.113
14/01/2019,2,40,40,-85.255
14/01/2019,3,30.66,30.66,-197.405
14/01/2019,4,30,30,-392.28
14/01/2019,5,30,30,-440.938
14/01/2019,6,30,30,-508.6
14/01/2019,7,30,30,-507.249
14/01/2019,8,26,26,-555.374
14/01/2019,9,26,26,-419.876
14/01/2019,10,27.11,27.11,-228.159
14/01/2019,11,27.11,27.11,-241.974
14/01/2019,12,30.66,30.66,-241.384
14/01/2019,13,68,68,130.395
14/01/2019,14,68,68,43.596
14/01/2019,15,49.8,49.8,-106.614
14/01/2019,16,49.3,49.3,-185.549
14/01/2019,17,49.8,49.8,-141.932
14/01/2019,18,49.8,49.8,-230.38
14/01/2019,19,47.57,47.57,-550.593
14/01/2019,20,49.79933,49.79933,-264.94
14/01/2019,21,98,98,223.649
14/01/2019,22,98,98,194.331
14/01/2019,23,100,100,280.639
14/01/2019,24,145,145,221.791
14/01/2019,25,98,98,147.432
14/01/2019,26,85,85,41.724
14/01/2019,27,80,80,17.75
14/01/2019,28,49.5,49.5,-103.889
14/01/2019,29,49.06,49.06,-167.868
14/01/2019,30,50.05,50.05,-46.363
14/01/2019,31,51,51,-3.82
14/01/2019,32,51,51,-44.449
14/01/2019,33,49.06,49.06,-258.418
14/01/2019,34,109.9,109.9,198.18
14/01/2019,35,119.7,119.7,302.038
14/01/2019,36,119.7,119.7,188.427
14/01/2019,37,49.5,49.5,-65.335
14/01/2019,38,49.04,49.04,-229.769
14/01/2019,39,108.8,108.8,284.335
14/01/2019,40,49.1,49.1,-167.691
14/01/2019,41,49.05,49.05,-127.127
14/01/2019,42,28.5,28.5,-563.494
14/01/2019,43,68.9,68.9,20.554
14/01/2019,44,74,74,127.009
14/01/2019,45,68.9,68.9,12.062
14/01/2019,46,46.11,46.11,-57.247
14/01/2019,47,46.8,46.8,-160.388
14/01/2019,48,46.8,46.8,-190.397
15/01/2019,1,43.01,43.01,-499.53
15/01/2019,2,46.25,46.25,-264.328
15/01/2019,3,50.46,50.46,-194.383
15/01/2019,4,50.14,50.14,-209.765
15/01/2019,5,46.8,46.8,-88.001
15/01/2019,6,49.96,49.96,-52.353
15/01/2019,7,58,58,-139.669
15/01/2019,8,45.98,45.98,-353.296
15/01/2019,9,46.32,46.32,-401.492
15/01/2019,10,46.1,46.1,-389.297
15/01/2019,11,48.76,48.76,-138.567
15/01/2019,12,28.5,28.5,-518.352
15/01/2019,13,67.08,67.08,109.162
15/01/2019,14,67.08,67.08,122.047
15/01/2019,15,48.94,48.94,-37.608
15/01/2019,16,49,49,-114.243
15/01/2019,17,49,49,-12.076
15/01/2019,18,69.69,69.69,9.196
15/01/2019,19,80,80,5.858
